City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
275,petrovskaya,45.4314,37.955,61.92,69,100,11.23,RU,1684625806
276,evanston,42.0411,-87.6901,73.58,45,20,6.91,US,1684625806
277,necochea,-38.5473,-58.7368,47.25,78,20,12.75,AR,1684625806
278,aban,56.67,96.06,54.79,43,3,2.42,RU,1684625807
279,castillos,-34.1667,-53.8333,59.27,79,100,9.69,UY,1684625807
280,lazaro cardenas,17.9583,-102.2,87.96,60,89,8.01,MX,1684625786
281,awjilah,29.1081,21.2869,77.86,33,1,27.02,LY,1684625807
282,susuman,62.7833,148.1667,34.47,89,100,10.42,RU,1684625807
283,sola,-13.8833,167.55,81.61,81,95,12.39,VU,1684625807
284,demba,-5.51,22.2667,69.57,90,60,2.48,CD,1684625807
285,hiratacho,35.4333,132.8167,66.22,82,0,2.3,JP,1684625807
286,opuwo,-18.0607,13.84,60.28,30,0,4.61,NA,1684625807
287,kontiolahti,62.7602,29.8471,45.75,77,0,2.3,FI,1684625807
288,tamanrasset,22.785,5.5228,73.31,11,0,8.05,DZ,1684625807
289,mgandu,-5.95,34.1333,60.66,52,70,7.0,TZ,1684625807
290,oruro,-17.9833,-67.15,50.67,48,59,2.77,BO,1684625807
291,ruelle-sur-touvre,45.6833,0.2333,57.9,75,0,5.75,FR,1684625807
292,pemangkat,1.1667,108.9667,82.87,80,85,10.54,ID,1684625807
293,pontes e lacerda,-15.2261,-59.3353,72.84,81,2,2.89,BR,1684625807
294,anadyr,64.75,177.4833,43.3,70,0,4.47,RU,1684625807
295,island harbour,50.724,-1.2758,54.32,72,3,3.0,GB,1684625808
296,olavarria,-36.8927,-60.3225,43.65,60,0,8.01,AR,1684625808
297,prado,-17.3411,-39.2208,70.05,81,5,6.15,BR,1684625657
298,sosnogorsk,63.6023,53.8817,42.78,87,8,1.83,RU,1684625808
299,bullsbrook,-31.6667,116.0,54.21,58,69,2.3,AU,1684625808
300,aral,40.5156,81.2636,65.41,41,95,8.63,CN,1684625808
301,vernon,50.2581,-119.2691,83.73,42,97,3.44,CA,1684625808
302,turtas,58.9417,69.1325,54.77,50,94,2.44,RU,1684625808
303,jayapura,-2.5333,140.7,81.79,90,100,3.33,ID,1684625808
304,kulhudhuffushi,6.6221,73.07,83.46,74,40,7.7,MV,1684625808
305,igarka,67.4667,86.5833,32.29,79,13,8.61,RU,1684625808
306,horta,38.5333,-28.6333,62.02,78,46,8.99,PT,1684625808
307,vilyuysk,63.7553,121.6247,32.49,87,100,8.61,RU,1684625808
308,dunedin,-45.8742,170.5036,51.8,61,45,4.0,NZ,1684625808
309,kaa-khem,51.6833,94.7333,46.42,41,2,2.3,RU,1684625808
310,longyearbyen,78.2186,15.6401,37.24,81,75,20.71,SJ,1684625780
311,bubaque,11.2833,-15.8333,79.93,71,91,10.89,GW,1684625808
312,redencao,-4.2258,-38.7306,75.06,91,24,0.31,BR,1684625808
313,revda,56.801,59.9303,46.76,55,24,0.29,RU,1684625808
314,waingapu,-9.6567,120.2641,79.27,73,32,19.22,ID,1684625809
315,arai,37.0167,138.25,75.92,82,49,2.95,JP,1684625809
316,pangai,-19.8,-174.35,79.03,88,79,10.51,TO,1684625809
317,newman,37.3138,-121.0208,91.74,43,0,5.99,US,1684625809
318,chelsea,51.4875,-0.1694,53.73,67,3,8.05,GB,1684625673
319,dronero,44.4657,7.3513,56.05,99,100,3.09,IT,1684625809
320,waddan,29.1614,16.139,73.87,28,0,10.83,LY,1684625809
321,swakopmund,-22.6833,14.5333,54.45,88,0,1.99,NA,1684625809
322,masterton,-40.9597,175.6575,52.88,93,100,3.98,NZ,1684625809
323,vadso,70.0744,29.7487,52.68,76,20,3.44,NO,1684625809
324,brookings,44.3114,-96.7984,72.05,33,0,5.75,US,1684625809
325,urmary,55.6789,47.944,55.92,73,95,5.08,RU,1684625809
326,queenstown,-31.8976,26.8753,49.19,37,22,10.09,ZA,1684625809
327,olovyannaya,50.95,115.5667,57.83,33,19,13.11,RU,1684625809
328,hammerfest,70.6634,23.6821,48.65,71,100,0.0,NO,1684625809
329,maintirano,-18.0667,44.0167,71.22,91,4,8.63,MG,1684625809
330,kenai,60.5544,-151.2583,57.29,47,100,18.41,US,1684625730
331,la oroya,-11.5189,-75.8994,49.59,65,97,4.14,PE,1684625809
332,rakops,-21.0167,24.3333,63.84,29,0,6.6,BW,1684625809
333,kodinsk,58.6881,99.1844,53.44,76,88,2.44,RU,1684625809
334,lepsy,46.235,78.9456,59.13,74,97,1.3,KZ,1684625809
335,chibougamau,49.9168,-74.3659,58.62,72,75,6.91,CA,1684625810
336,taroudant,30.4703,-8.877,57.11,84,18,4.79,MA,1684625810
337,luganville,-15.5333,167.1667,82.36,87,98,4.97,VU,1684625810
338,kindu,-2.95,25.95,70.65,96,100,2.57,CD,1684625810
339,gaillimh,53.2719,-9.0489,55.09,97,100,7.83,IE,1684625810
340,simanggang,1.2472,111.4528,76.98,100,73,0.0,MY,1684625810
341,fort st. john,56.2499,-120.8529,76.89,31,100,8.05,CA,1684625711
342,dzuunharaa,48.8523,106.4579,40.01,85,100,2.1,MN,1684625810
343,cromwell,41.5951,-72.6454,68.0,96,100,9.22,US,1684625810
344,sao simao,-21.4792,-47.5508,61.25,69,44,3.6,BR,1684625810
345,tobelo,1.7284,128.0095,81.9,75,92,3.47,ID,1684625810
346,salalah,17.0151,54.0924,86.09,79,20,6.91,OM,1684625810
347,smithers,54.7804,-127.1743,73.72,33,20,10.36,CA,1684625710
348,talavera de la reina,39.9635,-4.8308,53.24,57,97,6.82,ES,1684625810
349,magdagachi,53.45,125.8,57.13,36,40,10.16,RU,1684625810
350,bonthe,7.5264,-12.505,80.47,80,100,5.88,SL,1684625810
351,arteche,12.2645,125.4048,83.52,74,51,1.52,PH,1684625810
352,fuding,27.3273,120.214,73.22,98,100,3.13,CN,1684625810
353,korsakov,46.6328,142.7813,42.64,93,100,13.53,RU,1684625810
354,flying fish cove,-10.4217,105.6791,78.48,88,75,10.36,CX,1684625810
355,plettenberg bay,-34.0527,23.3716,57.47,50,100,4.61,ZA,1684625810
356,nemuro,43.3236,145.575,41.31,95,100,12.68,JP,1684625811
357,vilyuchinsk,52.9306,158.4028,39.25,100,100,0.83,RU,1684625811
358,shevchenko,48.5,35.0,57.99,85,48,10.38,UA,1684625811
359,ta`u,-14.2336,-169.5144,82.51,82,61,13.49,AS,1684625811
360,ugoofaaru,5.6667,73.0,82.63,76,84,5.55,MV,1684625811
361,buguias,16.7227,120.8283,71.29,76,46,0.22,PH,1684625811
362,tralee,52.2704,-9.7026,54.27,96,100,2.06,IE,1684625782
